iteration,shuffle,group_id,min_distance,quantile,shuffle_cutoff
1,1,group_18,4.223,0.2,5.225
1,1,group_58,4.304,0.2,5.225
1,1,group_29,4.448,0.2,5.225
1,1,group_52,4.686,0.2,5.225
1,1,group_59,4.793,0.2,5.225
1,1,group_31,4.859,0.2,5.225
1,1,group_26,4.873,0.2,5.225
1,1,group_13,4.891,0.2,5.225
1,1,group_35,4.984500000000001,0.2,5.225
1,1,group_60,5.201499999999999,0.2,5.225
1,1,group_24,5.2035,0.2,5.225
1,1,group_30,5.225,0.2,5.225
1,2,group_9,3.0295,0.2,5.246
1,2,group_36,4.769,0.2,5.246
1,2,group_45,4.9855,0.2,5.246
1,2,group_46,4.997,0.2,5.246
1,2,group_4,5.014,0.2,5.246
1,2,group_35,5.17,0.2,5.246
1,2,group_52,5.21,0.2,5.246
1,2,group_14,5.215,0.2,5.246
1,2,group_16,5.2170000000000005,0.2,5.246
1,2,group_22,5.218,0.2,5.246
1,2,group_58,5.2385,0.2,5.246
1,2,group_33,5.246,0.2,5.246
1,3,group_48,4.741,0.2,5.415
1,3,group_51,4.750500000000001,0.2,5.415
1,3,group_2,4.8175,0.2,5.415
1,3,group_26,5.076499999999999,0.2,5.415
1,3,group_11,5.136,0.2,5.415
1,3,group_9,5.1935,0.2,5.415
1,3,group_56,5.2620000000000005,0.2,5.415
1,3,group_3,5.322,0.2,5.415
1,3,group_36,5.3285,0.2,5.415
1,3,group_44,5.3395,0.2,5.415
1,3,group_19,5.3925,0.2,5.415
1,3,group_37,5.415,0.2,5.415
1,4,group_25,3.687,0.2,5.1165
1,4,group_2,3.838,0.2,5.1165
1,4,group_1,4.3175,0.2,5.1165
1,4,group_20,4.4125,0.2,5.1165
1,4,group_10,4.519,0.2,5.1165
1,4,group_45,4.5895,0.2,5.1165
1,4,group_56,4.622,0.2,5.1165
1,4,group_62,4.641,0.2,5.1165
1,4,group_61,4.7285,0.2,5.1165
1,4,group_13,4.9465,0.2,5.1165
1,4,group_27,5.0045,0.2,5.1165
1,4,group_60,5.1165,0.2,5.1165
1,5,group_33,3.4225000000000003,0.2,5.246499999999999
1,5,group_20,4.517,0.2,5.246499999999999
1,5,group_29,4.655,0.2,5.246499999999999
1,5,group_44,4.7465,0.2,5.246499999999999
1,5,group_45,4.8045,0.2,5.246499999999999
1,5,group_17,4.833,0.2,5.246499999999999
1,5,group_19,5.034000000000001,0.2,5.246499999999999
1,5,group_40,5.0475,0.2,5.246499999999999
1,5,group_16,5.106,0.2,5.246499999999999
1,5,group_12,5.2005,0.2,5.246499999999999
1,5,group_51,5.215999999999999,0.2,5.246499999999999
1,5,group_56,5.246499999999999,0.2,5.246499999999999
1,6,group_17,4.28,0.2,4.863
1,6,group_21,4.2865,0.2,4.863
1,6,group_37,4.3605,0.2,4.863
1,6,group_25,4.3855,0.2,4.863
1,6,group_7,4.4885,0.2,4.863
1,6,group_6,4.622,0.2,4.863
1,6,group_57,4.6265,0.2,4.863
1,6,group_5,4.693,0.2,4.863
1,6,group_47,4.827500000000001,0.2,4.863
1,6,group_18,4.831,0.2,4.863
1,6,group_39,4.843999999999999,0.2,4.863
1,6,group_54,4.863,0.2,4.863
1,7,group_52,3.771,0.2,5.3345
1,7,group_4,3.8995,0.2,5.3345
1,7,group_20,4.823,0.2,5.3345
1,7,group_14,4.825,0.2,5.3345
1,7,group_17,5.0115,0.2,5.3345
1,7,group_28,5.083500000000001,0.2,5.3345
1,7,group_55,5.1530000000000005,0.2,5.3345
1,7,group_12,5.173,0.2,5.3345
1,7,group_23,5.177,0.2,5.3345
1,7,group_16,5.218999999999999,0.2,5.3345
1,7,group_48,5.306,0.2,5.3345
1,7,group_59,5.3345,0.2,5.3345
1,8,group_60,3.415,0.2,4.9305
1,8,group_62,3.9885,0.2,4.9305
1,8,group_51,4.2010000000000005,0.2,4.9305
1,8,group_27,4.296,0.2,4.9305
1,8,group_25,4.298,0.2,4.9305
1,8,group_19,4.36,0.2,4.9305
1,8,group_15,4.5495,0.2,4.9305
1,8,group_49,4.6535,0.2,4.9305
1,8,group_14,4.752,0.2,4.9305
1,8,group_4,4.7755,0.2,4.9305
1,8,group_28,4.7995,0.2,4.9305
1,8,group_53,4.9305,0.2,4.9305
1,9,group_44,4.2535,0.2,5.244
1,9,group_57,4.8615,0.2,5.244
1,9,group_13,4.922,0.2,5.244
1,9,group_7,4.949,0.2,5.244
1,9,group_16,4.996,0.2,5.244
1,9,group_53,5.0265,0.2,5.244
1,9,group_46,5.1,0.2,5.244
1,9,group_24,5.1335,0.2,5.244
1,9,group_4,5.166,0.2,5.244
1,9,group_27,5.183,0.2,5.244
1,9,group_38,5.218,0.2,5.244
1,9,group_59,5.244,0.2,5.244
1,10,group_18,2.601,0.2,5.1205
1,10,group_28,4.082,0.2,5.1205
1,10,group_1,4.1325,0.2,5.1205
1,10,group_29,4.3275,0.2,5.1205
1,10,group_36,4.618,0.2,5.1205
1,10,group_39,4.6475,0.2,5.1205
1,10,group_22,4.7375,0.2,5.1205
1,10,group_16,4.8165,0.2,5.1205
1,10,group_7,4.974,0.2,5.1205
1,10,group_47,5.038,0.2,5.1205
1,10,group_57,5.109,0.2,5.1205
1,10,group_14,5.1205,0.2,5.1205
